gene,avg_rank_metric,avg_log2FC
CYTH1,-7.969233771521217e-4,-0.007901506161912975
DNAJB12,-7.99352593249121e-4,-0.010621308111731266
RTN4,-8.018543194314732e-4,-0.010269137513447107
CHD9,-8.022004747481539e-4,-0.008306751571622546
STK17B,-8.062809849294286e-4,-0.008637133151172741
CREB1,-8.121299792665313e-4,-0.009786570249407864
RICTOR,-8.136191803827218e-4,-0.008601399704805406
NLRC5,-8.144250797565093e-4,-0.0091866539057479
SEPT6,-8.190265181423068e-4,-0.009334507447077573
DUSP12,-8.235610781170609e-4,-0.009152359147689275
COX16,-8.265221632653204e-4,-0.009068402666104957
ITPR1,-8.2712571287242e-4,-0.008749507971822296
PIN4,-8.296592253954299e-4,-0.009254293500949735
CRYL1,-0.00083093562135235605,-0.008489886976721499
RPL35A,-8.325964519332159e-4,-0.00867379896063794
JAK3,-8.344543400354142e-4,-0.01093047054404281
MIER1,-8.371477134162364e-4,-0.0073559852112819605
SNHG17,-8.412214374682038e-4,-0.008468633253744954
KCTD20,-8.449174283833607e-4,-0.008990972813270187
KIAA1551,-8.450035486273576e-4,-0.009551958694824404
YTHDF2,-8.641226826626301e-4,-0.010487506529826144
SRSF3,-8.691004592837763e-4,-0.00898427231506023
ORMDL2,-8.696778468592824e-4,-0.009010828871674334
UFD1L,-8.726489337421104e-4,-0.00916310317731939
ACOT2,-8.742983634301789e-4,-0.009523653557487594
KLF12,-8.842142490115457e-4,-0.009998200417135235
ANXA7,-8.88127750278584e-4,-0.011135374149805314
RHOB,-9.095275294660106e-4,-0.007708391824364161
IFFO1,-9.139819109124117e-4,-0.008119243859319863
ADAM10,-9.184609630945838e-4,-0.01112744729178897
SRGN,-9.244824700880275e-4,-0.009670471994559497
TIAL1,-9.26107482711473e-4,-0.009470855827837785
ANKRD12,-9.313371614292209e-4,-0.00981777357453428
PTTG1IP,-9.334656544324272e-4,-0.0096269485255149
RPL7,-9.41924041704992e-4,-0.010950410486846623
SSU72,-9.493766252262056e-4,-0.009789112059051171
DDIT4,-9.514186454994311e-4,-0.009058501061195814
SP140,-9.527818443110306e-4,-0.009839454909538466
COX6A1,-9.541978934543844e-4,-0.010575898025992035
PRR13,-9.550852302888169e-4,-0.011226616960514576
LCMT1,-9.629851865350928e-4,-0.010708648647411475
RNASEH2C,-9.693950981531007e-4,-0.011075620179200473
LINC00892,-9.704080336705148e-4,-0.007845516945559648
CPQ,-9.810176508009444e-4,-0.011590121400756725
CWF19L2,-9.877795335937348e-4,-0.010269607020708093
GPS2,-9.894906952384694e-4,-0.009939349497100474
ARID1A,-9.897637393601745e-4,-0.011193509467717614
SS18L2,-9.903911792766976e-4,-0.011384838390975786
ZC3H7A,-9.941385195226917e-4,-0.010778014870137671
CRKL,-9.995252181588714e-4,-0.01032782472104919
TBRG1,-0.0010012736823940829,-0.012078361481286236
TRA2A,-0.0010041017844929427,-0.009131548448636017
UNC50,-0.0010071943698390655,-0.010921320520242285
FCHO1,-0.0010108842408184443,-0.010768606989759566
BCAS4,-0.0010160369669699751,-0.011091337319746243
OGDH,-0.001018931188626501,-0.010531765169289673
ZFPL1,-0.0010290682168894204,-0.011028722919360965
LPIN2,-0.001035194754994478,-0.008355126203769395
RTCA,-0.001052788360240923,-0.010122364213685906
MATK,-0.0010569275647023702,-0.010656857808724381
MDFIC,-0.0010612060005680559,-0.008983727777890454
WBP2,-0.0010645468160265287,-0.01164309937924172
PAFAH1B1,-0.0010672216990556668,-0.010118838969520047
SLA,-0.0010673054087609968,-0.009501474134938894
FPGS,-0.0010686642298685322,-0.010262181919659276
RER1,-0.0010722059086621756,-0.01155680493737545
PRDX5,-0.0010750177930514298,-0.011575413561827865
ACADVL,-0.0010805011570203479,-0.01211816979713464
C14orf142,-0.001088034120919973,-0.011047478041831527
ANKRD39,-0.0010903099692877963,-0.011213142900054112
USP8,-0.001094029361933632,-0.012116950850993005
NOC4L,-0.0010941437912076533,-0.011124025183948541
HLA-F,-0.0010951732410219854,-0.012608785829293607
RAB28,-0.001099856443748884,-0.009744134334923441
RPN1,-0.0011000624251469942,-0.011144271150184518
TBC1D10A,-0.0011030517096749406,-0.011512721300002119
UGP2,-0.0011036842549991337,-0.011158336615013281
RNASET2,-0.0011136034045190484,-0.011940609992257024
ATG4B,-0.0011285451131638367,-0.011989204801724279
HM13,-0.0011328347303641386,-0.012412054652593365
RALGAPA1,-0.0011367771469207486,-0.011276646480140984
DNAJC7,-0.0011388431603584805,-0.012270598571503496
GAS5,-0.001140267442041476,-0.012415729670068232
NDUFC1,-0.0011425361783055454,-0.012146748259079552
LOC100289097,-0.001146998525678356,-0.01318767654297748
RAB8A,-0.0011490263877970532,-0.012177874083128388
FASTK,-0.0011539921322345273,-0.012230884880985678
NUDT16L1,-0.0011544110641397859,-0.011707289375457322
STXBP2,-0.0011546377447709233,-0.010348884236375427
HMOX2,-0.001162383568326346,-0.013566864254314309
DEGS1,-0.0011632277608431443,-0.011338602810378488
ZDHHC6,-0.0011672149473748658,-0.013095239620088238
HSP90B1,-0.001174589550251168,-0.0159022160141099
C1orf35,-0.0011874177358279588,-0.012521419068008164
OTULIN,-0.001189481637522318,-0.011044615752199545
MAPRE2,-0.001194626031512979,-0.012268420858838325
CARS,-0.0012050917196262058,-0.010908862316895371
PTPN2,-0.0012055203874783425,-0.013856277758179256
PIK3AP1,-0.001222309209905395,-0.011236590727553904
FYN,-0.0012282333853318392,-0.013335771081314469
CISD2,-0.0012288825300654446,-0.011815158170857685
RGS10,-0.0012318112772628778,-0.013033028319598645
SYNC,-0.001249048175077719,-0.012713901967443526
SCRN2,-0.0012562647664101493,-0.012677501699732377
PREB,-0.001259109074263354,-0.011884776449136113
HMGN4,-0.0012597599555370126,-0.012867824734015303
R3HDM2,-0.0012602646189629598,-0.011266382639141145
SMCHD1,-0.0012636595668249872,-0.012694201390830462
CNIH1,-0.0012683804012282934,-0.012859597765676838
KPNA2,-0.001286150127620165,-0.01264021664086167
NR1H2,-0.0012867777830038632,-0.01191650451340835
KIF5B,-0.0012900953450198196,-0.011837014297284966
TBL1XR1,-0.0013051800932405706,-0.011490233497666152
SDHAF2,-0.0013054313944860546,-0.014283036105442695
IMP4,-0.0013056147552729957,-0.014816112576395004
COQ10B,-0.0013152121955265835,-0.013126239906825052
NIPA2,-0.0013202542447363355,-0.012372176401810403
TRAT1,-0.0013226269083867486,-0.012725071224751375
PDCD6,-0.0013259934217098393,-0.014597368547690009
MKLN1,-0.0013287131273994669,-0.01146253615572261
CRTAM,-0.0013311699520355937,-0.012012383318186784
RABGAP1L,-0.0013324791803510064,-0.013550228792870937
DIABLO,-0.0013339709059649906,-0.012383971708793039
SESN3,-0.0013499500601873008,-0.011877873460134684
MFSD11,-0.0013515859892349101,-0.012268092285467562
MRPL47,-0.0013599504983210307,-0.013726466127260518
NUDT16,-0.0013689435916227548,-0.012297160127511092
RAB3GAP1,-0.0013789016967338864,-0.011876502625668894
SDCBP,-0.001383731585636697,-0.012734236749304025
SLC39A13,-0.0013912530178243824,-0.011777451862986997
FAM133B,-0.001393483906683278,-0.014102096476867146
LINC00869,-0.0014032810437417324,-0.015192633321091649
ZCCHC7,-0.0014043845806545802,-0.014645214160277678
UBE2I,-0.0014052518700814643,-0.01421065510236091
TMEM14C,-0.0014164216373060154,-0.011094241292159334
SP110,-0.0014176130087381095,-0.014283623014854308
ABCF1,-0.0014217233917586316,-0.014088416843054128
RNF44,-0.0014218563420759253,-0.013704245980032247
SENP6,-0.0014230977169130941,-0.014389886259747428
ZMPSTE24,-0.0014257173429731238,-0.014072228216973662
LAMP1,-0.0014273947301895725,-0.011375121822304112
RPL14,-0.0014466607490254747,-0.013622297768575235
MTDH,-0.0014496873904024836,-0.01594666689826569
ZDHHC12,-0.0014605577186451366,-0.014899952065082912
SBF1,-0.001462329912644672,-0.012989163781237632
SYTL1,-0.001463273723498409,-0.014422204418990626
STARD3,-0.0014632748370220297,-0.013225718887423375
NSUN6,-0.0014676382715553282,-0.012870640358598728
MYO9B,-0.0014883189252291053,-0.011981885989716843
CHRM3-AS2,-0.0014895701799917224,-0.012196864698158782
HYOU1,-0.0014914573020546633,-0.015263328389783493
AZI2,-0.0014964589699583402,-0.016018790414190482
TIMM23,-0.0015069381471398697,-0.013808851175374304
CDC26,-0.0015097656823748428,-0.013630743686407997
ZNF585A,-0.0015245675622373128,-0.014328180263417915
TMED2,-0.0015380672674616526,-0.015597611114336224
FAM162A,-0.001542406457579696,-0.015880063967786087
RB1,-0.001543914183405451,-0.014874606884559757
HSD17B7,-0.0015512785860775956,-0.014454043674780943
LINC00649,-0.001553559204182528,-0.013901263869904703
DENR,-0.0015623651888440717,-0.015356629094398196
SMAP2,-0.001565298378731923,-0.014494273421786436
TBC1D22A,-0.001565358319595225,-0.013526084349014037
KIF2A,-0.0015814193161341578,-0.016366590997626256
EPS8L2,-0.0015854141389337725,-0.014599512359619116
HNRNPUL2,-0.0015897950526152082,-0.012355269429297098
NAGPA,-0.0015981677778023847,-0.015189207362346257
CCDC90B,-0.0016008619755993752,-0.014437476700168473
DNAJB9,-0.0016033356075515015,-0.012981869885143646
DYRK4,-0.00160891981096848,-0.014505346414304562
EMC7,-0.0016144730017728592,-0.015529775568808269
CERS2,-0.0016162669671542316,-0.01588826941080669
GRB2,-0.0016217349319772086,-0.01527320660812937
GSPT1,-0.0016237470550895586,-0.013501824966931524
PNISR,-0.0016243278736313693,-0.01695395676992672
INPP4A,-0.0016346598560633898,-0.014836018908118049
C6orf226,-0.0016348963370357975,-0.014751096607365984
SEP15,-0.0016350479119615524,-0.014919353759984358
