p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0.008102677902280864,-0.11666002620549606,0.159,0.235,1,CXCR3
0.009852599126297245,-0.12392699638126914,0.298,0.385,1,FOSB
0.013188753459700586,-0.22577865383071594,0.298,0.364,1,CD160
0.013194937835364934,0.14241704461585192,0.576,0.518,1,ZAP70
0.01626510483025408,-0.13177864548783447,0.944,0.958,1,GZMA
0.01757661039077418,0.1320128113304464,0.997,0.984,1,ITGB2
0.017722301078477713,-0.0975477804653343,0.613,0.693,1,ARL4C
0.01944864638685857,0.12155497269719737,0.119,0.073,1,IL7R
0.027810364978407356,-0.1004350915283439,0.311,0.387,1,GIMAP2
0.03526815002448296,0.09600677614709152,0.954,0.956,1,CD3E
0.038724593552929364,-0.08876129522131737,0.483,0.558,1,FYB
0.04171629404055017,-0.08429267183537453,0.248,0.315,1,GZMM
0.04456689474878092,-0.08469392562312583,0.887,0.875,1,KLRK1
0.04678768013894942,0.08152971366025788,0.106,0.067,1,KLRB1
0.05108018906271901,0.09590266777609502,0.997,0.991,1,CST7
0.054225324358847554,0.09404554057984038,0.652,0.595,1,APOBEC3G
0.05529293725205884,-0.08019072040946337,0.139,0.189,1,STAT1
0.05542852607559434,0.07015695685752499,0.228,0.175,1,STAT4
0.05963342252392928,-0.0786636625838768,0.321,0.389,1,ANXA5
0.06380387689304862,-0.08297233380856306,0.719,0.753,1,IL2RB
0.0639791617255697,-0.0890589098685306,0.162,0.215,1,JUN
0.06591377176636175,0.06237935853784776,0.242,0.187,1,BCL11B
0.07174888664548976,0.12565397958937186,0.894,0.876,1,CD3D
0.07286862310774046,0.09757524379424565,0.629,0.584,1,CD3G
0.07571833411013841,0.07346969089836042,0.242,0.191,1,IER5
0.08461291123408841,0.09176113738219405,0.821,0.802,1,CD2
0.08624294390666758,0.05067447598827657,0.185,0.14,1,CNOT2
0.11797852770455973,-0.05950417437106004,0.765,0.807,1,BIN2
0.1191488088151746,-0.0555496735947385,0.646,0.718,1,LAT
0.1325561326741526,0.04344698880312799,0.103,0.073,1,HLA-DQA1
0.16827584680567856,-0.06399693952622881,0.255,0.302,1,HLA-DRB3
0.20603753610558348,0.04940026614593851,0.152,0.122,1,IL4R
0.22985639568079602,-0.05133989981615927,0.381,0.427,1,BAX
0.2887841472505601,0.0642644785252148,0.175,0.149,1,GIMAP5
0.3104924284069964,0.021697155038316707,0.533,0.495,1,ITGA4
0.31290476803143824,-0.03098118956405796,0.156,0.185,1,CBLB
0.34587661557202426,-0.039769054325575925,0.129,0.153,1,CASP3
0.3596236279189349,0.07455424932201205,0.275,0.256,1,LAG3
0.37081319135024426,-0.026224529280647668,0.106,0.127,1,FAS
0.37661124163835,0.03480807052925544,0.195,0.171,1,TRIB2
0.4192919681428137,0.0557676891649016,0.129,0.113,1,FOXO3
0.42977347491936346,-0.022913097038911978,0.983,0.991,1,CD8A
0.4450071709954431,0.009377859745335615,0.189,0.165,1,TRAT1
0.45216185488334393,-0.014822697195345236,0.142,0.164,1,EOMES
0.4706509941618022,-0.0230903131789455,0.139,0.158,1,STAT5A
0.49696845988708727,-0.035140807033308796,0.603,0.571,1,JUNB
0.5025593235408229,0.05418986160411676,0.182,0.167,1,TIAF1
0.5074377650568886,-0.0297337384401688,0.172,0.191,1,KLRG1
0.5317249171445231,-0.08883924745892724,0.361,0.38,1,IFNG
0.587513467804916,-3.4025157860340105e-4,0.215,0.196,1,CD244
0.6058962076632366,5.805900461969271e-4,0.467,0.444,1,IL23R
0.6099254323482973,0.005481399259743558,0.152,0.138,1,IL12RB1
0.611272101735197,-0.03011384794032207,0.275,0.289,1,CCL3
0.7308821768964608,-0.0293965226265831,1,1,1,NKG7
0.73248957486396,0.009347569071302853,0.487,0.509,1,CD44
0.8681307783680495,0.03662164090118647,0.589,0.593,1,CD48
0.8774706038388111,0.00909681442643051,0.334,0.329,1,CD7
0.954951295016184,0.017339056913640072,0.142,0.142,1,LAP3
0.9678811217951783,4.7840601038007247e-4,0.119,0.118,1,GATA3
0.9691117798146521,0.0015401891511811483,0.325,0.329,1,STAT6
