"olink_id","IL8","TNFRSF9","TIE2","CD40.L","CD244","EGF","ANGPT1","IL7","PGF","IL6","MCP.1","CRTAM","CXCL11","MCP.4","TRAIL","FGF2","CXCL9","CD8A","CAIX","MUC.16","ADA","CD4","Gal.9","VEGFR.2","CD40","IL18","GZMH","LAP.TGF.beta.1","CXCL1","TNFSF14","TWEAK","PDGF.subunit.B","PDCD1","FASLG","CCL19","MCP.2","CCL4","IL15","Gal.1","PD.L1","CD27","CXCL5","HGF","GZMA","HO.1","CX3CL1","CXCL10","CD70","IL10","TNFRSF12A","CCL23","CD5","CCL3","MMP7","NCR1","DCN","TNFRSF21","TNFRSF4","MIC.A.B","CCL17","ANGPT2","IFN.gamma","LAMP3","CASP.8","ICOSLG","MMP12","CXCL13","PD.L2","VEGFA","LAG3","CCL20","TNF","KLRD1","GZMB","CD83","IL12","CSF.1"
4274,7.18388,8.55089,7.9414,5.84033,6.92303,7.73205,9.26047,3.45207,9.58294,5.59414,11.48985,5.58396,7.46771,10.12291,8.59934,1.6713,7.28839,11.28054,4.86202,6.15302,7.24923,4.58274,8.01498,8.14353,9.69475,7.76764,4.01223,9.46317,8.9095,6.37702,7.93199,10.72129,6.77033,8.71013,11.42949,7.54418,7.30108,4.66304,6.22102,6.2583,8.78622,9.06839,9.10746,6.9239,11.72239,5.59222,9.24158,2.81143,4.54115,5.54164,10.96637,7.5763,6.31233,11.82076,5.45775,5.23786,9.85142,8.78092,6.90175,11.09224,7.43929,7.47684,6.12704,4.06822,6.06919,9.58912,9.34498,2.21752,11.26206,4.93773,7.88503,5.43937,6.83496,5.37121,3.92731,9.53983,10.60768
4282,3.62592,7.66346,7.7674,5.92591,7.1057,8.05527,9.36423,3.58823,8.38453,1.77583,7.99351,4.44579,6.49356,8.74228,7.68517,1.37946,5.57709,9.38567,4.88279,3.82049,6.92863,4.1898,7.67141,8.51331,9.69528,7.9764,2.69111,9.41404,8.36139,4.15291,9.19515,10.70426,6.23829,7.53004,8.56004,6.72254,5.78504,4.60658,6.63277,6.19676,7.872,10.12741,7.97351,5.11395,11.24273,5.55467,6.57744,2.87662,2.98085,3.72187,10.47866,6.27197,4.3584,8.26336,4.12116,5.18764,9.40228,6.44965,2.07714,9.38634,6.47026,2.53705,5.11771,3.47376,6.56451,7.26402,10.11208,2.6355,8.82729,4.76691,7.11089,3.48011,5.64893,2.90976,3.27969,7.53759,9.67729
4295,5.05507,8.08531,7.77866,9.33101,8.42282,10.5441,10.61224,6.03315,8.54793,2.92535,9.26729,5.69469,8.4737,10.92966,8.51227,2.83495,6.98556,11.70718,5.4178,3.81832,7.00908,4.39152,7.66346,8.30408,11.10708,8.45246,4.98179,10.78117,10.29171,7.07596,9.18137,11.43437,6.54612,8.1808,10.8066,7.72729,6.40887,5.0619,6.92908,6.77073,8.33313,12.08722,8.23748,7.35197,11.21235,5.38245,8.87763,2.84488,2.71691,4.406,9.95828,6.7311,5.39461,10.35115,4.11208,5.25209,9.38892,7.34264,5.42352,11.03105,6.70842,6.496,5.08032,5.03107,6.5107,8.03379,9.60816,2.47987,10.6102,4.8753,7.98461,4.68033,6.59218,5.73754,3.36544,8.85186,10.1578
4539,4.58885,7.80093,7.67657,6.24161,6.73914,8.1643,9.85464,4.60667,8.25126,1.77583,9.51203,4.5974,6.86565,9.4193,8.46147,1.10864,6.52148,10.27708,5.07216,3.41277,6.68743,3.93993,7.75021,8.18939,9.61428,7.33039,3.6287,9.89891,9.14243,4.59434,8.37517,11.14427,5.80141,7.2978,10.01854,5.76386,6.31364,4.78221,6.41541,5.8625,7.88307,10.16068,8.28574,5.88938,11.89756,5.05899,7.76521,2.71873,1.96999,4.81213,9.81922,5.97315,4.97285,9.37459,3.78053,5.14333,9.27516,6.74601,5.72743,10.2897,5.85127,4.62305,4.68902,4.1525,6.30534,7.34498,8.75347,2.18831,9.90016,4.28606,6.63739,3.93116,5.90946,3.9984,2.89195,7.57264,9.70393
4551,7.15669,8.91708,7.80684,8.22546,6.44904,8.85982,10.69563,4.18889,8.72476,2.72938,10.99548,6.61284,9.09245,11.02549,8.87639,2.35064,8.53586,10.99541,5.5253,3.66974,7.64124,4.17301,8.46013,8.26278,9.79782,8.69475,5.16661,10.55061,9.79927,5.99406,9.25481,11.55489,7.53349,8.68752,10.81325,6.63218,7.0028,4.59244,6.83919,6.14599,8.88655,11.40808,9.26586,7.25769,11.81844,5.54914,9.5742,3.6484,5.61854,4.79052,9.781,7.2614,6.13048,10.85614,4.6848,6.07028,9.77724,8.29994,6.87393,11.51725,6.95907,6.68873,6.13269,5.08897,6.36494,8.9684,9.86192,2.84258,10.04382,5.27267,7.64612,5.96324,6.74158,5.24629,4.21096,9.19869,10.11454
4588,4.55822,6.46935,7.67497,7.96435,7.58139,9.18058,10.1388,5.32102,8.19735,1.77583,7.72038,4.53715,7.57223,9.38548,8.15568,2.45131,4.50892,10.93203,5.19116,2.36299,6.8504,3.47578,7.1015,8.53122,10.93521,8.04944,3.01984,9.85314,10.92074,5.81932,8.8768,11.30482,4.39326,6.64221,7.36621,6.47642,6.24561,5.69544,6.44092,7.32026,7.42738,10.53672,8.38983,5.19755,11.29525,5.82142,6.60948,2.29708,3.05205,4.45012,10.54872,5.35059,4.7782,9.10988,3.18163,4.83216,9.2685,5.7351,6.42629,9.1766,5.44705,2.09837,3.78445,4.65194,6.37091,4.91869,8.80533,2.46909,10.03558,3.56693,6.29009,3.60241,5.78758,2.63307,1.96612,3.22645,9.68498
4596,2.7583,6.76922,7.65237,6.12999,6.6948,7.79543,8.74304,3.52736,7.63455,4.41937,7.89936,3.91907,6.14982,9.04004,7.7371,1.63184,7.21203,9.37827,5.40331,2.66908,6.37328,3.47896,6.79967,7.95657,9.91425,7.97447,3.45645,9.65413,8.36302,4.8846,8.62257,10.49686,5.28358,7.52916,9.96749,5.60958,5.43105,4.90037,5.92622,6.24098,7.71409,11.26373,8.7435,5.5053,11.5475,5.07245,6.66591,2.71288,3.38785,4.358,10.32147,6.41715,4.07455,9.12767,3.36889,5.43859,8.88991,6.65868,5.30758,11.51443,7.69302,2.52973,4.15324,3.04616,5.75883,7.6854,11.61329,3.24507,9.14101,5.91915,5.81909,3.79074,5.35776,4.54286,2.55442,5.77252,9.81818
4598,3.49345,7.54574,7.28493,7.34555,7.28132,9.42675,10.50906,4.55701,8.50841,2.24232,9.00272,4.52616,7.85393,10.57987,8.10055,1.7852,7.42781,8.84044,4.71054,3.53952,6.46034,3.90184,7.63674,7.99542,10.12946,8.55555,3.44712,9.8139,8.35804,5.08256,8.77531,11.43975,5.81948,7.32202,11.57707,7.60382,5.96363,4.26399,6.38236,6.47313,8.03459,9.7485,7.99678,5.74483,10.41955,4.9695,7.31769,2.66843,4.22971,3.64947,9.79517,6.47354,5.11824,9.5555,3.83746,4.65522,8.97319,7.29421,6.32558,11.04582,6.16034,4.17907,5.29287,3.01101,5.72622,8.52904,11.69399,2.71539,9.4987,5.62351,6.46837,4.38432,6.05296,3.62722,2.75676,7.72698,9.96675
4613,10.14619,8.28866,7.55141,6.96618,7.00564,8.25771,9.06229,3.82132,9.54335,6.40077,11.42414,6.00151,8.89024,9.14453,8.72273,3.12151,9.53697,11.70691,4.56958,3.82282,6.68347,4.90277,8.38557,8.36367,10.27363,9.87252,4.53314,9.53432,9.71303,6.58396,8.47958,10.80972,6.62191,8.62929,13.42506,7.89788,7.90363,5.66866,6.21273,7.19643,8.39885,8.73875,9.12182,6.7879,12.15295,5.71994,10.31451,3.02014,4.5833,5.12734,11.52026,8.14281,7.13831,10.73014,4.40416,5.56079,9.47053,8.08042,6.83056,9.97223,7.78908,7.98647,5.37426,3.64878,5.77694,11.40337,10.21624,2.62097,10.69863,5.3322,8.39447,6.32807,7.15015,4.74479,3.6722,10.38796,10.67338
4649,4.03557,7.45515,7.98571,5.04827,6.97027,6.81362,8.50847,3.60954,8.19168,2.31483,8.85081,5.82977,7.26406,8.95754,8.39685,1.14985,7.81881,10.63908,4.57219,3.00627,6.09595,3.99776,7.69933,8.24156,9.31325,7.90699,3.40269,8.73359,7.62173,4.53126,8.46663,10.53591,5.3003,7.86452,9.52314,7.25742,6.58807,4.49419,6.33608,5.90641,7.94076,8.45523,8.17382,6.39318,11.36396,5.43602,9.53662,2.69167,3.31502,4.46685,9.79684,6.02805,5.44764,10.08859,4.38323,5.59568,9.20793,6.5349,5.95438,8.80948,6.42644,6.17689,4.63513,2.7091,6.0013,6.50487,8.64215,2.92325,9.54541,4.90681,6.5731,4.38316,6.91536,4.14742,2.83326,6.78683,9.73609
